"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Abilene Christian",69.2083,139,67.952,140,93.746,349,97.8159,325,103.627,126,103.793,116,-5.97755,234
"2025","Air Force",64,353,63.395,342,98.9636,301,100.441,286,110.362,282,111.174,266,-10.7332,292
"2025","Akron",73.2276,16,71.4894,19,112.963,57,111.158,94,102.664,108,104.396,127,6.76229,98
"2025","Alabama",76.077,1,74.2034,1,118.073,15,124.646,3,102.69,109,97.625,43,27.0212,9
"2025","Alabama A&M",73.4714,11,71.7871,15,94.3671,345,93.1867,358,110.251,281,113.306,309,-20.1196,356
"2025","Alabama St.",69.9899,96,67.798,151,103.985,214,103.131,230,111.189,297,114.214,320,-11.0825,294
"2025","Albany",69.0263,148,67.8267,149,105.819,176,103.489,227,108.76,246,112.201,286,-8.71181,266
"2025","Alcorn St.",66.8413,254,64.3974,309,93.0037,352,97.348,332,114.439,339,112.59,296,-15.2424,327
"2025","American",64.1263,350,63.2038,347,104.585,198,104.779,210,109.137,255,110.75,261,-5.97159,233
"2025","Appalachian St.",64.1368,349,63.5336,339,102.826,236,102.798,237,99.0915,56,98.6936,52,4.10474,112
"2025","Arizona",70.271,87,69.349,67,116.23,27,120.313,15,97.3051,35,95.6955,23,24.6176,14
"2025","Arizona St.",69.9762,98,67.361,171,104.01,212,111.069,98,101.767,94,97.1068,36,13.9619,59
"2025","Arkansas",70.0181,94,68.5147,108,108.335,126,111.089,96,97.613,38,96.904,34,14.1849,57
"2025","Arkansas Pine Bluff",74.0882,7,72.2975,10,95.5721,335,97.8177,324,125.147,363,123.074,363,-25.2564,363
"2025","Arkansas St.",70.3337,83,69.0774,77,108.669,115,109.434,127,97.8353,42,101.025,77,8.40927,91
"2025","Army",68.2367,190,67.491,167,103.385,225,100.537,285,109.52,263,112.331,290,-11.7946,302
"2025","Auburn",68.2474,188,67.3868,170,122.75,1,129.415,1,96.0328,24,93.4324,11,35.983,1
"2025","Austin Peay",67.4838,224,65.8032,240,94.9989,340,96.9046,338,109.06,251,107.377,195,-10.4721,288
"2025","Ball St.",68.4609,181,66.785,199,106.689,164,104.382,214,110.105,277,113.703,314,-9.32064,275
"2025","Baylor",66.1403,288,64.1703,323,116.139,31,121.024,14,101.867,98,99.9587,62,21.0648,26
"2025","Bellarmine",66.9105,253,65.2986,267,101.039,271,101.545,263,122.301,360,122.917,362,-21.3723,359
"2025","Belmont",71.5674,40,70.9351,28,112.781,60,114.048,60,109.919,272,110.652,256,3.39606,123
"2025","Bethune Cookman",69.3675,129,68.5963,103,94.9856,341,96.116,343,104.081,142,104.957,140,-8.8411,269
"2025","Binghamton",65.5463,321,64.3117,317,101.877,257,100.932,277,112.464,318,115.625,339,-14.6921,323
"2025","Boise St.",66.4127,278,66.0701,231,115.045,40,116.634,38,101.555,91,102.279,96,14.3552,55
"2025","Boston College",66.8397,255,65.9057,236,104.609,197,106.988,169,111.216,298,110.558,253,-3.56977,211
"2025","Boston University",63.348,358,61.8519,358,99.714,291,98.5615,313,104.91,165,109.764,235,-11.2021,297
"2025","Bowling Green",71.0147,53,69.2493,69,104.096,211,100.579,284,110.228,280,111.881,280,-11.3014,298
"2025","Bradley",67.3631,230,65.3815,263,114.98,41,111.388,88,99.9529,73,100.907,73,10.4811,81
